S1E1,Dialogue
Todd, What?
Lawer," There's a typo. Di-isneyland. With two ""i""s. That son of a gun trademarked the wrong name."
Judge," May I, counselor? D-I-I-S. This is unambiguous. I find in favor of the defendant."
Todd," Aw, shit."
Judge, You're the defendant.
Todd," Aw, sweet!"
LawYer," Your Otter, this is a gross miscarriage of justice."
Todd, Hooray! Gross miscarriage!
Todd," And that's how I turned my dream into what I call""The Happiest Place On Urf."" Urf is a made-up magical kingdom I added to the Disney canon."
Alex," Americans, they like this theme park?"
Todd," Oh, they love it. It represents everything America stands for."
Alex," Da. I mean, yeah."
Mr. Peanutbutter," We did it, buddy!"
Todd," Actually, I did it. I had the idea to build a park, I did all the work and I beat the lawsuit."
Mr. Peanutbutter," Well, there's no ""i"" in ""team,"" right?"
Todd," But there is an ""i"" in ""Disneyland."" And unlike that other Disneyland, this Disneyland only has one ""i""."
Mr. Peanutbutter, What are you saying?
Todd, You're not welcome at my theme park anymore. There's only room for one goofy dog there and his name is Pluto.
Mr. Peanutbutter," Todd, no."
Todd, I've told the bees if they see you to sting you on sight. You understand. It's nothing personal. It's just good business. And that's how we do business on Urf.
Mr. Peanutbutter, I don't like you like this.
Todd, I learned it from you.
BoJack, If I could get everyone's attention. You're probably wondering why I invited you all here tonight.
Princess Carolyn, You said it was to celebrate Todd's legal victory.
BoJack," Right, but obviously, I don't care about that, so you're probably wondering the real reason."
Princess Carolyn," No, we just took you at face value."
BoJack," We have a special guest here tonight. Alex. Or should I say ""comrade?"""
Todd," Why would you say ""comrade?"""
BoJack," Oh, I forgot to explain that part. Alex is a KGB agent bent on destroying America."
All, Aww!
Todd, It truly is a small world after all!
Wanda," Alex, is that true?"
Alex," Okay, yes. It's true. I was a deep-cover KGB operative before I went into my coma. I've been trying to contact my handler back in Mother Russia, but I can't reach him and I don't know if I ever will."
All, Aww!
BoJack, No! He's— It's not adorable! He's a Soviet sleeper-agent who doesn't realize the Cold War is over.
Alex," I felt totally alone in this world before I met Wanda. And then I met all of you, my friends. But if you're gonna kick me to the curb just because I think you're all capitalist swine and want to see your way of life destroyed, well, so be it. Or should I say, ""So-vi-et."""
Princess Carolyn, Oh! Cute. Wordplay.
BoJack, That's not even good wordplay.
Wanda," Wait, how did you know all this? BoJack, were you spying on him?"
BoJack," He is literally a spy trying to destroy America, the country we all live in. How am I the bad guy here?"
Wanda," BoJack, I am really bumping on the whole you-not-liking-Alex of it all. You told me you were going to drop it."
BoJack," Yeah, I know but—"
Wanda," I don't care about Alex. I want to know what happened to the amazing guy I spent the last few days with because if this is who you are, I don't think I like it. Alex, would you take me back to my sister's place?"
Alex," Sure thing, Wanda. And I can get you there fast because I'm always Russian."
All, Aww!
BoJack, Seriously?!
Princess Carolyn," Oh, I got here as fast as I could. Where's the next Dakota Fa..? Oh, I get what happened."
BoJack," Could you get me a beer from the fridge? I didn't want to stand up. Wait, no. I don't deserve a beer."
Princess Carolyn, So you called me all the way over here to not get you a beer?
BoJack, Why do I always do this? I push away everyone I care about.
Princess Carolyn," Oh, do you? I never noticed that. Look, you obviously really care about this girl and that scares you, so you sabotage yourself."
BoJack, That's my problem. I'm too good at sabotage. Why am I so good at everything I do?
Princess Carolyn," Hey, I got a crazy idea. How about you just stop sulking and go win her back, dummy?"
BoJack," You're right. I gotta win her back, put it all on the line. You know what? I think I will have that beer, can you get it for me?"
Princess Carolyn," Oh, why do I bother?"
BoJack," Hey, grab a beer for yourself, too! Actually, I want both beers! Wanda."
Wanda," What do you want, BoJack?"
BoJack, There's something I gotta say to you. When I was—
Mr. Peanutbutter, Todd! There's something I gotta say!
BoJack," Hey, I'm kind of already doing—"
Mr. Peanutbutter," I never should have tried to make your thing my thing! I just got excited and wanted to smear Mr. Peanutbutter all over everything. I should have been supporting you, like this support beam. Or a different support beam."
Todd, It's my fault. The point of Disneyland isn't to make money and win lawsuits. But I forgot that.
Alex," So, these two were so consumed by greed that it destroyed them. You know, I came here today to blow up Disneyland."
BoJack, You what?
Alex," But now I realize, I don't need to take down capitalism. Capitalism sows the seeds for its own destruction. It's a snake that eats itself. It's only a matter of time."
Todd," Hey, buddy, let's just say we— Oh! Oh, no, no, no. No!! Gabe Jr.!"
Mr. Peanutbutter," Quick, Todd! The mattress pile! Jump to safety! No!"
Todd," Bees, help! Your queen commands you! ... No! Bees! Come on!"
Mr. Peanutbutter, You gotta—Over the—
Fireman," What is it, boy? What's wrong?"
Mr. Peanutbutter," Hey, there's trouble—"
Fireman, Did some kid fall down a well?
Mr. Peanutbutter," No, no, no! Listen, you—"
Fireman," He's trying to tell us a kid fell down a well. Let's go, go, go! Come on!"
Mr. Peanutbutter," Bad, bad, bad. You gotta—No, no, no, listen!"
BoJack," Wait, Wanda, we need to talk."
Wanda, But the fire.
BoJack," I don't care about that. Look, the great guy you've been getting to know, that's me. but that other guy, the guy from the party, that's me too and you need to know that. I'm not perfect. I'm cynical and I'm possessive and I can sometimes fly off the handle. I'm not always the best at being not terrible."
Wanda," I gotta say, I'm not loving this pitch so far."
BoJack," But I want to be better, I'm trying to be better. And when I'm around you, for the first time in 30 years, I feel like I can be. Wanda, you make me want to be a better man."
Wanda, Wow. That's a great line. Did you just come up with that?
BoJack, Yes.
D.J.," Hey, boys and girls, this is your park DJ speaking. And as the Titanic's band played on as the ship sank, so too will I spin one last record as my DJ booth is engulfed in flames."
Todd, Hooray! Mr. Peanutbutter. You saved me!
Mr. Peanutbutter, No. I saved us. Woo-hoo!
BoJack, I want to give this a real shot.
Wanda," I don't know, BoJack. I just got out of my coma, and I don't have time to waste if you're still figuring your shit out. Plus, it's hard to think straight with this fire everywhere."
BoJack, Move in with me.
Wanda, What?!
BoJack," I know it feels fast. We barely know each other. It's crazy, but I like you. And sometimes you gotta swing for the fences, right?"
Wanda, Okay.
BoJack, Yeah?
Wanda," Yeah. Let's move in together. Let's do it. It's crazy, but let's do it! "
,
S2E3,
Sabrina, I'm sorry I broke your expensive bachelor vase.
Audience, Aww.
The Horse, That's all right. I've learned that when you're in a loving family there's nothing wrong with a little—Horsin' Around.
Herb," Cut! That's the show, folks. Now, let's hear it for our amazing cast. Joelle. Bradley. Little Sarah Lynn. And our star, BoJack Horseman!"
BoJack, Thanks for coming out. Thank you very much.
Bradley, Wow!
Herb," Great pilot. We got the biggest laugh I ever heard with that ""gag me with a spoon"" joke. And then we topped it with the ""get a room"" joke."
Bradley, This was so fun. Do we get to make more?
Herb," I think we got a real shot. And as long as the ratings don't dip below a dismal 15 million a night, we could be on the air for many years."
Joelle, No way! Bradley
P.A.," Your Squirt, sir."
Herb," Thank you. And if that happens, I want you to take care of each other. No matter what, we're going to stick together."
Henry Winkler," Thank you, Tina, for those touching grunts and growls. I'm Henry Winkler. You probably remember me from my 2002 guest role Special Victims Unit."
Bradley, Whoo!
Henry," Thank you. But perhaps the greatest role I've ever played is friend. Herb was a dear friend and I am honored to be dedicating this bench in his memory. In his last days, Herb's cancer had gone into remission. He was full of hope. But on the drive home from the hospital, his brakes gave out, he crashed into a truck full of peanuts."
Henry,"He survived the crash, but he was allergic to peanuts. He died instantly. Let us now read his final tweets. ""I'm gonna live forever! Hashtag 'cancer free.' Hashtag 'invincible.' Hashtag 'tweeting while driving.' Oh, no, I think I'm gonna hit that truck. Hashtag 'hopefully it isn't full of peanuts.' Hashtag 'Oh, no. It was full of peanuts.'"""
BoJack, I was wondering where you wandered off to.
Charlotte More," Oh, shit. Hey."
BoJack, Hey.
Charlotte," I'm no good with funerals. When I cry, it messes up my makeup and then I get really bummed out."
BoJack," Yeah, same for me."
Charlotte, Herb told me you came by the house last summer.
BoJack, Yeah? Did he tell you anything else about it?
Charlotte," No, we talked about cancer, how hard it is living with cancer, about the L.A. Kings, and then back to cancer."
BoJack," Well, that, probably—"
Charlotte, Then I read that chapter in your book about how he never forgave you and he tried to kick you out of the house and you ended up wrestling on the floor over a telescope.
